1,000001.SZ,平安银行,平安银行股份有限公司
2,000002.SZ,万科A,万科企业股份有限公司
3,000004.SZ,ST国华,深圳国华网安科技股份有限公司
4,000005.SZ,ST星源,深圳世纪星源股份有限公司
5,000006.SZ,深振业A,深圳市振业(集团)股份有限公司
6,000007.SZ,*ST全新,深圳市全新好股份有限公司
7,000008.SZ,神州高铁,神州高铁技术股份有限公司
8,000009.SZ,中国宝安,中国宝安集团股份有限公司
9,000010.SZ,美丽生态,深圳美丽生态股份有限公司
10,000011.SZ,深物业A,深圳市物业发展(集团)股份有限公司
11,000012.SZ,南玻A,中国南玻集团股份有限公司
12,000014.SZ,沙河股份,沙河实业股份有限公司
13,000016.SZ,深康佳A,康佳集团股份有限公司
14,000017.SZ,深中华A,深圳中华自行车(集团)股份有限公司
15,000019.SZ,深粮控股,深圳市深粮控股股份有限公司
16,000020.SZ,深华发A,深圳中恒华发股份有限公司
17,000021.SZ,深科技,深圳长城开发科技股份有限公司
18,000023.SZ,ST深天,深圳市天地(集团)股份有限公司
19,000025.SZ,特力A,深圳市特力(集团)股份有限公司
20,000026.SZ,飞亚达,飞亚达精密科技股份有限公司
21,000027.SZ,深圳能源,深圳能源集团股份有限公司
22,000028.SZ,国药一致,国药集团一致药业股份有限公司
23,000029.SZ,深深房A,深圳经济特区房地产(集团)股份有限公司
24,000030.SZ,富奥股份,富奥汽车零部件股份有限公司
25,000031.SZ,大悦城,大悦城控股集团股份有限公司
26,000032.SZ,深桑达A,深圳市桑达实业股份有限公司
27,000034.SZ,神州数码,神州数码集团股份有限公司
28,000035.SZ,中国天楹,中国天楹股份有限公司
29,000036.SZ,华联控股,华联控股股份有限公司
30,000037.SZ,深南电A,深圳南山热电股份有限公司
31,000038.SZ,*ST大通,深圳大通实业股份有限公司
32,000039.SZ,中集集团,中国国际海运集装箱(集团)股份有限公司
33,000040.SZ,东旭蓝天,东旭蓝天新能源股份有限公司
34,000042.SZ,中洲控股,深圳市中洲投资控股股份有限公司
35,000045.SZ,深纺织A,深圳市纺织(集团)股份有限公司
36,000046.SZ,*ST泛海,泛海控股股份有限公司
37,000048.SZ,京基智农,深圳市京基智农时代股份有限公司
38,000049.SZ,德赛电池,深圳市德赛电池科技股份有限公司
39,000050.SZ,深天马A,天马微电子股份有限公司
40,000055.SZ,方大集团,方大集团股份有限公司
41,000056.SZ,皇庭国际,深圳市皇庭国际企业股份有限公司
42,000058.SZ,深赛格,深圳赛格股份有限公司
43,000059.SZ,华锦股份,北方华锦化学工业股份有限公司
44,000060.SZ,中金岭南,深圳市中金岭南有色金属股份有限公司
45,000061.SZ,农产品,深圳市农产品集团股份有限公司
46,000062.SZ,深圳华强,深圳华强实业股份有限公司
47,000063.SZ,中兴通讯,中兴通讯股份有限公司
48,000065.SZ,北方国际,北方国际合作股份有限公司
49,000066.SZ,中国长城,中国长城科技集团股份有限公司
50,000068.SZ,华控赛格,深圳华控赛格股份有限公司
51,000069.SZ,华侨城A,深圳华侨城股份有限公司
52,000070.SZ,特发信息,深圳市特发信息股份有限公司
53,000078.SZ,海王生物,深圳市海王生物工程股份有限公司
54,000088.SZ,盐田港,深圳市盐田港股份有限公司
55,000089.SZ,深圳机场,深圳市机场股份有限公司
56,000090.SZ,天健集团,深圳市天健(集团)股份有限公司
57,000096.SZ,广聚能源,深圳市广聚能源股份有限公司
58,000099.SZ,中信海直,中信海洋直升机股份有限公司
59,000100.SZ,TCL科技,TCL科技集团股份有限公司
60,000150.SZ,*ST宜康,宜华健康医疗股份有限公司
61,000151.SZ,中成股份,中成进出口股份有限公司
62,000153.SZ,丰原药业,安徽丰原药业股份有限公司
63,000155.SZ,川能动力,四川省新能源动力股份有限公司
64,000156.SZ,华数传媒,华数传媒控股股份有限公司
65,000157.SZ,中联重科,中联重科股份有限公司
66,000158.SZ,常山北明,石家庄常山北明科技股份有限公司
67,000159.SZ,国际实业,新疆国际实业股份有限公司
68,000166.SZ,申万宏源,申万宏源集团股份有限公司
69,000301.SZ,东方盛虹,江苏东方盛虹股份有限公司
70,000333.SZ,美的集团,美的集团股份有限公司
71,000338.SZ,潍柴动力,潍柴动力股份有限公司
72,000400.SZ,许继电气,许继电气股份有限公司
73,000401.SZ,冀东水泥,唐山冀东水泥股份有限公司
74,000402.SZ,金融街,金融街控股股份有限公司
75,000403.SZ,派林生物,派斯双林生物制药股份有限公司
76,000404.SZ,长虹华意,长虹华意压缩机股份有限公司
77,000407.SZ,胜利股份,山东胜利股份有限公司
78,000408.SZ,藏格矿业,藏格矿业股份有限公司
79,000409.SZ,云鼎科技,云鼎科技股份有限公司
80,000410.SZ,*ST沈机,沈阳机床股份有限公司
81,000411.SZ,英特集团,浙江英特集团股份有限公司
82,000413.SZ,东旭光电,东旭光电科技股份有限公司
83,000415.SZ,渤海租赁,渤海租赁股份有限公司
84,000416.SZ,*ST民控,民生控股股份有限公司
85,000417.SZ,合肥百货,合肥百货大楼集团股份有限公司
86,000419.SZ,通程控股,长沙通程控股股份有限公司
87,000420.SZ,吉林化纤,吉林化纤股份有限公司
88,000421.SZ,南京公用,南京公用发展股份有限公司
89,000422.SZ,湖北宜化,湖北宜化化工股份有限公司
90,000423.SZ,东阿阿胶,东阿阿胶股份有限公司
91,000425.SZ,徐工机械,徐工集团工程机械股份有限公司
92,000426.SZ,兴业矿业,内蒙古兴业矿业股份有限公司
93,000428.SZ,华天酒店,华天酒店集团股份有限公司
94,000429.SZ,粤高速A,广东省高速公路发展股份有限公司
95,000430.SZ,张家界,张家界旅游集团股份有限公司
96,000488.SZ,晨鸣纸业,山东晨鸣纸业集团股份有限公司
97,000498.SZ,山东路桥,山东高速路桥集团股份有限公司
98,000501.SZ,武商集团,武商集团股份有限公司
99,000503.SZ,国新健康,国新健康保障服务集团股份有限公司
100,000504.SZ,南华生物,南华生物医药股份有限公司
101,000505.SZ,京粮控股,海南京粮控股股份有限公司
102,000506.SZ,中润资源,中润资源投资股份有限公司
103,000507.SZ,珠海港,珠海港股份有限公司
104,000509.SZ,华塑控股,华塑控股股份有限公司
105,000510.SZ,新金路,四川新金路集团股份有限公司
106,000513.SZ,丽珠集团,丽珠医药集团股份有限公司
107,000514.SZ,渝开发,重庆渝开发股份有限公司
108,000516.SZ,国际医学,西安国际医学投资股份有限公司
109,000517.SZ,荣安地产,荣安地产股份有限公司
110,000518.SZ,四环生物,江苏四环生物股份有限公司
111,000519.SZ,中兵红箭,中兵红箭股份有限公司
112,000520.SZ,长航凤凰,长航凤凰股份有限公司
113,000521.SZ,长虹美菱,长虹美菱股份有限公司
114,000523.SZ,广州浪奇,广州市浪奇实业股份有限公司
115,000524.SZ,岭南控股,广州岭南集团控股股份有限公司
116,000525.SZ,ST红太阳,南京红太阳股份有限公司
117,000526.SZ,学大教育,学大(厦门)教育科技集团股份有限公司
118,000528.SZ,柳工,广西柳工机械股份有限公司
119,000529.SZ,广弘控股,广东广弘控股股份有限公司
120,000530.SZ,冰山冷热,冰山冷热科技股份有限公司
121,000531.SZ,穗恒运A,广州恒运企业集团股份有限公司
122,000532.SZ,华金资本,珠海华金资本股份有限公司
123,000533.SZ,顺钠股份,广东顺钠电气股份有限公司
124,000534.SZ,万泽股份,万泽实业股份有限公司
125,000536.SZ,华映科技,华映科技(集团)股份有限公司
126,000537.SZ,广宇发展,天津中绿电投资股份有限公司
127,000538.SZ,云南白药,云南白药集团股份有限公司
128,000539.SZ,粤电力A,广东电力发展股份有限公司
129,000540.SZ,*ST中天,中天金融集团股份有限公司
130,000541.SZ,佛山照明,佛山电器照明股份有限公司
131,000543.SZ,皖能电力,安徽省皖能股份有限公司
132,000544.SZ,中原环保,中原环保股份有限公司
133,000545.SZ,金浦钛业,金浦钛业股份有限公司
134,000546.SZ,金圆股份,金圆环保股份有限公司
135,000547.SZ,航天发展,航天工业发展股份有限公司
136,000548.SZ,湖南投资,湖南投资集团股份有限公司
137,000550.SZ,江铃汽车,江铃汽车股份有限公司
138,000551.SZ,创元科技,创元科技股份有限公司
139,000552.SZ,甘肃能化,甘肃能化股份有限公司
140,000553.SZ,安道麦A,安道麦股份有限公司
141,000554.SZ,泰山石油,中国石化山东泰山石油股份有限公司
142,000555.SZ,神州信息,神州数码信息服务股份有限公司
143,000557.SZ,西部创业,宁夏西部创业实业股份有限公司
144,000558.SZ,莱茵体育,莱茵达体育发展股份有限公司
145,000559.SZ,万向钱潮,万向钱潮股份公司
146,000560.SZ,我爱我家,我爱我家控股集团股份有限公司
147,000561.SZ,烽火电子,陕西烽火电子股份有限公司
148,000563.SZ,陕国投A,陕西省国际信托股份有限公司
149,000564.SZ,ST大集,供销大集集团股份有限公司
150,000565.SZ,渝三峡A,重庆三峡油漆股份有限公司
151,000566.SZ,海南海药,海南海药股份有限公司
152,000567.SZ,海德股份,海南海德资本管理股份有限公司
153,000568.SZ,泸州老窖,泸州老窖股份有限公司
154,000570.SZ,苏常柴A,常柴股份有限公司
155,000571.SZ,ST大洲,新大洲控股股份有限公司
156,000572.SZ,海马汽车,海马汽车股份有限公司
157,000573.SZ,粤宏远A,东莞宏远工业区股份有限公司
158,000576.SZ,甘化科工,广东甘化科工股份有限公司
159,000581.SZ,威孚高科,无锡威孚高科技集团股份有限公司
160,000582.SZ,北部湾港,北部湾港股份有限公司
161,000584.SZ,ST工智,江苏哈工智能机器人股份有限公司
162,000586.SZ,汇源通信,四川汇源光通信股份有限公司
163,000589.SZ,贵州轮胎,贵州轮胎股份有限公司
164,000590.SZ,启迪药业,启迪药业集团股份公司
165,000591.SZ,太阳能,中节能太阳能股份有限公司
166,000592.SZ,平潭发展,中福海峡(平潭)发展股份有限公司
167,000593.SZ,德龙汇能,德龙汇能集团股份有限公司
168,000595.SZ,宝塔实业,宝塔实业股份有限公司
169,000596.SZ,古井贡酒,安徽古井贡酒股份有限公司
170,000597.SZ,东北制药,东北制药集团股份有限公司
171,000598.SZ,兴蓉环境,成都市兴蓉环境股份有限公司
172,000599.SZ,青岛双星,青岛双星股份有限公司
173,000600.SZ,建投能源,河北建投能源投资股份有限公司
174,000601.SZ,韶能股份,广东韶能集团股份有限公司
175,000603.SZ,盛达资源,盛达金属资源股份有限公司
176,000605.SZ,渤海股份,渤海水业股份有限公司
177,000606.SZ,*ST顺利,顺利办信息服务股份有限公司
178,000607.SZ,华媒控股,浙江华媒控股股份有限公司
179,000608.SZ,阳光股份,阳光新业地产股份有限公司
180,000609.SZ,中迪投资,北京中迪投资股份有限公司
181,000610.SZ,西安旅游,西安旅游股份有限公司
182,000612.SZ,焦作万方,焦作万方铝业股份有限公司
183,000615.SZ,*ST美谷,奥园美谷科技股份有限公司
184,000616.SZ,*ST海投,海航投资集团股份有限公司
185,000617.SZ,中油资本,中国石油集团资本股份有限公司
186,000619.SZ,海螺新材,海螺(安徽)节能环保新材料股份有限公司
187,000620.SZ,*ST新联,新华联文化旅游发展股份有限公司
188,000622.SZ,恒立实业,恒立实业发展集团股份有限公司
189,000623.SZ,吉林敖东,吉林敖东药业集团股份有限公司
190,000625.SZ,长安汽车,重庆长安汽车股份有限公司
191,000626.SZ,远大控股,远大产业控股股份有限公司
192,000627.SZ,天茂集团,天茂实业集团股份有限公司
193,000628.SZ,高新发展,成都高新发展股份有限公司
194,000629.SZ,钒钛股份,攀钢集团钒钛资源股份有限公司
195,000630.SZ,铜陵有色,铜陵有色金属集团股份有限公司
196,000631.SZ,顺发恒业,顺发恒业股份公司
197,000632.SZ,三木集团,福建三木集团股份有限公司
198,000633.SZ,合金投资,新疆合金投资股份有限公司
199,000635.SZ,英力特,宁夏英力特化工股份有限公司
200,000636.SZ,风华高科,广东风华高新科技股份有限公司
201,000637.SZ,ST实华,茂名石化实华股份有限公司
202,000638.SZ,万方发展,万方城镇投资发展股份有限公司
203,000639.SZ,西王食品,西王食品股份有限公司
204,000650.SZ,仁和药业,仁和药业股份有限公司
205,000651.SZ,格力电器,珠海格力电器股份有限公司
206,000652.SZ,泰达股份,天津泰达股份有限公司
207,000655.SZ,金岭矿业,山东金岭矿业股份有限公司
208,000656.SZ,金科股份,金科地产集团股份有限公司
209,000657.SZ,中钨高新,中钨高新材料股份有限公司
210,000659.SZ,珠海中富,珠海中富实业股份有限公司
211,000661.SZ,长春高新,长春高新技术产业(集团)股份有限公司
212,000663.SZ,永安林业,福建省永安林业(集团)股份有限公司
213,000665.SZ,湖北广电,湖北省广播电视信息网络股份有限公司
214,000666.SZ,经纬纺机,经纬纺织机械股份有限公司
215,000667.SZ,ST美置,美好置业集团股份有限公司
216,000668.SZ,荣丰控股,荣丰控股集团股份有限公司
217,000669.SZ,ST金鸿,金鸿控股集团股份有限公司
218,000670.SZ,盈方微,盈方微电子股份有限公司
219,000671.SZ,ST阳光城,阳光城集团股份有限公司
220,000672.SZ,上峰水泥,甘肃上峰水泥股份有限公司
221,000676.SZ,智度股份,智度科技股份有限公司
222,000677.SZ,恒天海龙,恒天海龙股份有限公司
223,000678.SZ,襄阳轴承,襄阳汽车轴承股份有限公司
224,000679.SZ,大连友谊,大连友谊(集团)股份有限公司
225,000680.SZ,山推股份,山推工程机械股份有限公司
226,000681.SZ,视觉中国,视觉(中国)文化发展股份有限公司
227,000682.SZ,东方电子,东方电子股份有限公司
228,000683.SZ,远兴能源,内蒙古远兴能源股份有限公司
229,000685.SZ,中山公用,中山公用事业集团股份有限公司
230,000686.SZ,东北证券,东北证券股份有限公司
231,000688.SZ,国城矿业,国城矿业股份有限公司
232,000690.SZ,宝新能源,广东宝丽华新能源股份有限公司
233,000691.SZ,亚太实业,甘肃亚太实业发展股份有限公司
234,000692.SZ,*ST惠天,沈阳惠天热电股份有限公司
235,000695.SZ,滨海能源,天津滨海能源发展股份有限公司
236,000697.SZ,*ST炼石,炼石航空科技股份有限公司
237,000698.SZ,沈阳化工,沈阳化工股份有限公司
238,000700.SZ,模塑科技,江南模塑科技股份有限公司
239,000701.SZ,厦门信达,厦门信达股份有限公司
240,000702.SZ,正虹科技,湖南正虹科技发展股份有限公司
241,000703.SZ,恒逸石化,恒逸石化股份有限公司
242,000705.SZ,浙江震元,浙江震元股份有限公司
243,000707.SZ,双环科技,湖北双环科技股份有限公司
244,000708.SZ,中信特钢,中信泰富特钢集团股份有限公司
245,000709.SZ,河钢股份,河钢股份有限公司
246,000710.SZ,贝瑞基因,成都市贝瑞和康基因技术股份有限公司
247,000711.SZ,*ST京蓝,京蓝科技股份有限公司
248,000712.SZ,锦龙股份,广东锦龙发展股份有限公司
249,000713.SZ,丰乐种业,合肥丰乐种业股份有限公司
250,000715.SZ,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司
251,000716.SZ,黑芝麻,南方黑芝麻集团股份有限公司
252,000717.SZ,中南股份,广东中南钢铁股份有限公司
253,000718.SZ,苏宁环球,苏宁环球股份有限公司
254,000719.SZ,中原传媒,中原大地传媒股份有限公司
255,000720.SZ,新能泰山,山东新能泰山发电股份有限公司
256,000721.SZ,西安饮食,西安饮食股份有限公司
257,000722.SZ,湖南发展,湖南发展集团股份有限公司
258,000723.SZ,美锦能源,山西美锦能源股份有限公司
259,000725.SZ,京东方A,京东方科技集团股份有限公司
260,000726.SZ,鲁泰A,鲁泰纺织股份有限公司
261,000727.SZ,冠捷科技,冠捷电子科技股份有限公司
262,000728.SZ,国元证券,国元证券股份有限公司
263,000729.SZ,燕京啤酒,北京燕京啤酒股份有限公司
264,000731.SZ,四川美丰,四川美丰化工股份有限公司
265,000732.SZ,ST泰禾,泰禾集团股份有限公司
266,000733.SZ,振华科技,中国振华(集团)科技股份有限公司
267,000735.SZ,罗牛山,罗牛山股份有限公司
268,000736.SZ,中交地产,中交地产股份有限公司
269,000737.SZ,北方铜业,北方铜业股份有限公司
270,000738.SZ,航发控制,中国航发动力控制股份有限公司
271,000739.SZ,普洛药业,普洛药业股份有限公司
272,000750.SZ,国海证券,国海证券股份有限公司
273,000751.SZ,锌业股份,葫芦岛锌业股份有限公司
274,000752.SZ,*ST西发,西藏发展股份有限公司
275,000753.SZ,漳州发展,福建漳州发展股份有限公司
276,000755.SZ,山西路桥,山西路桥股份有限公司
277,000756.SZ,新华制药,山东新华制药股份有限公司
278,000757.SZ,浩物股份,四川浩物机电股份有限公司
279,000758.SZ,中色股份,中国有色金属建设股份有限公司
280,000759.SZ,中百集团,中百控股集团股份有限公司
281,000761.SZ,本钢板材,本钢板材股份有限公司
282,000762.SZ,西藏矿业,西藏矿业发展股份有限公司
283,000766.SZ,通化金马,通化金马药业集团股份有限公司
284,000767.SZ,晋控电力,晋能控股山西电力股份有限公司
285,000768.SZ,中航西飞,中航西安飞机工业集团股份有限公司
286,000776.SZ,广发证券,广发证券股份有限公司
287,000777.SZ,中核科技,中核苏阀科技实业股份有限公司
288,000778.SZ,新兴铸管,新兴铸管股份有限公司
289,000779.SZ,甘咨询,甘肃工程咨询集团股份有限公司
290,000782.SZ,美达股份,广东新会美达锦纶股份有限公司
